,ade,definition
0,bleeding, the flow of blood from a ruptured blood vessel
1,restlessness, the quality of being ceaselessly moving or active
2,anxiety," (psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic"
3,head hurt, the upper part of the human body or the front part of the body in animals; contains the face and brains any physical damage to the body caused by violence or accident or fracture etc.
4,extreme muscle problems, the furthest or highest degree of something one of the contractile organs of the body a state of difficulty that needs to be resolved
5,clumsiness, unskillfulness resulting from a lack of training
6,prop my eyelids open, a support placed beneath or against something to keep it from shaking or falling  either of two folds of skin that can be moved to cover or open the eye a clear or unobstructed space or expanse of land or water
7,see shapes, the seat within a bishop's diocese where his cathedral is located any spatial attributes (especially as defined by outline)
8,muscles deteriorated, one of the contractile organs of the body become worse or disintegrate
9,withdrawal, a retraction of a previously held position
10,weakness, a flaw or weak point
11,legs feel tired, staying power an intuitive awareness;  lose interest or become bored with something or somebody
12,driving me insane, hitting a golf ball off of a tee with a driver a state in New England afflicted with or characteristic of mental derangement
13,hair losss, a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss something that is lost
14,leg cramps, a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle a painful and involuntary muscular contraction
15,aches and stiffness hips, a dull persistent (usually moderately intense) pain  the physical property of being inflexible and hard to bend either side of the body below the waist and above the thigh
16,sick to my stomach, people who are sick   an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion
17,gain weight, a quantity that is added the vertical force exerted by a mass as a result of gravity
18,head aches, the upper part of the human body or the front part of the body in animals; contains the face and brains a dull persistent (usually moderately intense) pain
19,debilitating muscle pain in my back, make weak one of the contractile organs of the body a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot  the posterior part of a human (or animal) body from the neck to the end of the spine
20,blurr vision,  a vivid mental image
21,joint pain, (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion) a symptom of some physical hurt or disorder
22,back pain, the posterior part of a human (or animal) body from the neck to the end of the spine a symptom of some physical hurt or disorder
23,tingles although the body," an almost pleasurable sensation of fright   the entire structure of an organism (an animal, plant, or human being)"
24,nuasea, 
25,15 hours sleep, the cardinal number that is the sum of fourteen and one a period of time assigned for work a natural and periodic state of rest during which consciousness of the world is suspended
26,inability to sleep well, lack of ability (especially mental ability) to do something  a natural and periodic state of rest during which consciousness of the world is suspended a deep hole or shaft dug or drilled to obtain water or oil or gas or brine
27,weak all the time, wanting in physical strength quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class  an instance or single occasion for some event
