,meddra,definition
0,bleeding, the flow of blood from a ruptured blood vessel
1,restlessness, the quality of being ceaselessly moving or active
2,anxiety," (psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic"
3,headache, something or someone that causes anxiety; a source of unhappiness
4,myopathy, any pathology of the muscles that is not attributable to nerve dysfunction
5,clumsiness, unskillfulness resulting from a lack of training
6,somnolence, a very sleepy state
7,visual disturbances," relating to or using sight activity that is a malfunction, intrusion, or interruption"
8,muscle atrophy, one of the contractile organs of the body a decrease in size of an organ caused by disease or disuse
9,withdrawal symptom, a retraction of a previously held position (medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease
10,asthenia, an abnormal loss of strength
11,muscle fatigue, one of the contractile organs of the body temporary loss of strength and energy resulting from hard physical or mental work
12,mental state abnormal aggravated, involving the mind or an intellectual process the territory occupied by one of the constituent administrative districts of a nation not normal; not typical or usual or regular or conforming to a norm make worse
13,hair loss, a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss something that is lost
14,cramps of lower extremities, a painful and involuntary muscular contraction  the lower of two berths an external body part that projects from the body
15,stiffness hip, the physical property of being inflexible and hard to bend either side of the body below the waist and above the thigh
16,nauseous, causing or able to cause nausea
17,weight gain, the vertical force exerted by a mass as a result of gravity a quantity that is added
18,myalgia, pain in a muscle or group of muscles
19,blurred vision, become glassy; lose clear vision a vivid mental image
20,backache, an ache localized in the back
21,paraesthesia, abnormal skin sensations (as tingling or tickling or itching or burning) usually associated with peripheral nerve damage
22,nausea, the state that precedes vomiting
23,sleep excessive, a natural and periodic state of rest during which consciousness of the world is suspended beyond normal limits
24,difficulty sleeping, an effort that is inconvenient the state of being asleep
25,head pressure, the upper part of the human body or the front part of the body in animals; contains the face and brains the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit)
26,myocardial infarction, of or relating to the myocardium localized necrosis resulting from obstruction of the blood supply
27,flatulence, a state of excessive gas in the alimentary canal
28,arthralgia, pain in a joint or joints
29,concentration ability impaired, the strength of a solution; number of molecules of a substance in a given volume the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment make worse or less effective
30,short-term memory impairment, relating to or extending over a limited period something that is remembered the occurrence of a change for the worse
31,muscle cramp, one of the contractile organs of the body a painful and involuntary muscular contraction
32,hypersomnia, an inability to stay awake
33,depression, a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity
34,stomach cramps, an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion a painful and involuntary muscular contraction
35,feeling sick, the experiencing of affective and emotional states people who are sick
