text,ade,meddra,level
"i feel a bit drowsy & have a little blurred vision, so far no gastric problems.",bit drowsy,drowsiness,LLT
"i feel a bit drowsy & have a little blurred vision, so far no gastric problems.",feel a bit weird,malaise,PT
"i feel a bit drowsy & have a little blurred vision, so far no gastric problems.",little blurred vision,blurred vision,LLT
"i feel a bit drowsy & have a little blurred vision, so far no gastric problems.",gastric problems,gastric disorder,PT
hunger pangs.,hunger pangs,pain hunger,LLT
no side effects for the first two months .,stomach pain,stomach ache,LLT
no side effects for the first two months .,vaginal bleeding,vaginal bleeding,LLT
no side effects for the first two months .,canker sores,aphthous ulcer,PT
no side effects for the first two months .,headache,headache,PT
"1st pill taken with food, a few hours after i experienced shortness of breath, a sense of depression, cramping, upset stomache will stop taking immediately.",depression,depression,PT
"1st pill taken with food, a few hours after i experienced shortness of breath, a sense of depression, cramping, upset stomache will stop taking immediately.",cramping,muscle cramp,LLT
"1st pill taken with food, a few hours after i experienced shortness of breath, a sense of depression, cramping, upset stomache will stop taking immediately.",upset stomache,upset stomach,LLT
"1st pill taken with food, a few hours after i experienced shortness of breath, a sense of depression, cramping, upset stomache will stop taking immediately.",shortness of breath,dyspnoea,PT
it seems as if bleeding forever is a side effect but doctors tell you that its not the drug,bleeding,bleeding,LLT
it seems as if bleeding forever is a side effect but doctors tell you that its not the drug,so much pain,pain,PT
it seems as if bleeding forever is a side effect but doctors tell you that its not the drug,feel weak and almost fainted,felt faint,LLT
"some diarrhea, some constipation, fatigue.",fatigue,fatigue,PT
"some diarrhea, some constipation, fatigue.",diarrhea,diarrhoea,PT
"some diarrhea, some constipation, fatigue.",constipation,constipation,PT
"i've been on 75mg twice daily for 13 days, with recent body swelling, face, wrists, abdomen, thighs - clothes fit tight.",swelling wrists,swelling of wrists,LLT
"i've been on 75mg twice daily for 13 days, with recent body swelling, face, wrists, abdomen, thighs - clothes fit tight.",insomina,insomnia,PT
"i've been on 75mg twice daily for 13 days, with recent body swelling, face, wrists, abdomen, thighs - clothes fit tight.",forgetfulnes and confussion,confusion,LLT
"i've been on 75mg twice daily for 13 days, with recent body swelling, face, wrists, abdomen, thighs - clothes fit tight.",body swelling,swelling,PT
"i've been on 75mg twice daily for 13 days, with recent body swelling, face, wrists, abdomen, thighs - clothes fit tight.",swelling thighs,cramps of lower extremities,LLT
"i've been on 75mg twice daily for 13 days, with recent body swelling, face, wrists, abdomen, thighs - clothes fit tight.",swelling abdomen,swelling abdomen,LLT
"i've been on 75mg twice daily for 13 days, with recent body swelling, face, wrists, abdomen, thighs - clothes fit tight.",forgetfulnes and confussion,forgetfulness,LLT
"i've been on 75mg twice daily for 13 days, with recent body swelling, face, wrists, abdomen, thighs - clothes fit tight.",loose stools,loose stools,LLT
"i've been on 75mg twice daily for 13 days, with recent body swelling, face, wrists, abdomen, thighs - clothes fit tight.",swelling face,facial swelling,LLT
hospitalization due extreme rectal bleed that required blood transfusion.,rectal bleed,haemorrhage rectal,LLT
hospitalization due extreme rectal bleed that required blood transfusion.,extremely sick,generally unwell,LLT
"abdominal pain, dizzieness and blood clots in urine which caused problems with urine leaking.",abdominal pain,abdominal pain,PT
"abdominal pain, dizzieness and blood clots in urine which caused problems with urine leaking.",dizzieness,dizziness,PT
"abdominal pain, dizzieness and blood clots in urine which caused problems with urine leaking.",blood clots in urine,haematuria,PT
"abdominal pain, dizzieness and blood clots in urine which caused problems with urine leaking.",urine leaking,urinary incontinence,PT
upset stomach and the feeling that i may need to throw up.,deep constant pain,pain,PT
upset stomach and the feeling that i may need to throw up.,upset stomach,upset stomach,LLT
upset stomach and the feeling that i may need to throw up.,throw up,vomiting,PT
upset stomach and the feeling that i may need to throw up.,pain in my stomach,abdominal pain,PT
i had diarrhea for a whole week;bad uterine cramps followed by heavy menstrual bleeding two weeks after my period.,heavy menstrual bleeding,menorrhagia,PT
i had diarrhea for a whole week;bad uterine cramps followed by heavy menstrual bleeding two weeks after my period.,nausea,nausea,PT
i had diarrhea for a whole week;bad uterine cramps followed by heavy menstrual bleeding two weeks after my period.,uterine cramps,uterine spasm,PT
i had diarrhea for a whole week;bad uterine cramps followed by heavy menstrual bleeding two weeks after my period.,diarrhea,diarrhoea,PT
i had diarrhea for a whole week;bad uterine cramps followed by heavy menstrual bleeding two weeks after my period.,pain,pain,PT
i had diarrhea for a whole week;bad uterine cramps followed by heavy menstrual bleeding two weeks after my period.,alot of gas,wind,LLT
this greatly improved the swelling when i had a surgery on both legs.,little gas,flatulence,PT
"i can't describe the horrible stomach pain, constipation, uterine, cramps and pain in the ovaries (menopausal for 20 years) pressure in the stomach, couldn't urinate for a whole day, severe stomach pain, constant burping.",constipation,constipation,PT
"i can't describe the horrible stomach pain, constipation, uterine, cramps and pain in the ovaries (menopausal for 20 years) pressure in the stomach, couldn't urinate for a whole day, severe stomach pain, constant burping.",horrible stomach pain,pain,PT
"i can't describe the horrible stomach pain, constipation, uterine, cramps and pain in the ovaries (menopausal for 20 years) pressure in the stomach, couldn't urinate for a whole day, severe stomach pain, constant burping.",constant burping,burping,LLT
"i can't describe the horrible stomach pain, constipation, uterine, cramps and pain in the ovaries (menopausal for 20 years) pressure in the stomach, couldn't urinate for a whole day, severe stomach pain, constant burping.",pain in the ovaries (menopausal for 20 years),pain ovarian,LLT
"i can't describe the horrible stomach pain, constipation, uterine, cramps and pain in the ovaries (menopausal for 20 years) pressure in the stomach, couldn't urinate for a whole day, severe stomach pain, constant burping.",horrible stomach pain,pain abdominal,LLT
"i can't describe the horrible stomach pain, constipation, uterine, cramps and pain in the ovaries (menopausal for 20 years) pressure in the stomach, couldn't urinate for a whole day, severe stomach pain, constant burping.",severe stomach pain,abdominal pain,PT
"i can't describe the horrible stomach pain, constipation, uterine, cramps and pain in the ovaries (menopausal for 20 years) pressure in the stomach, couldn't urinate for a whole day, severe stomach pain, constant burping.","uterine, cramps (menopausal for 20 years)",uterine spasm,PT
"i can't describe the horrible stomach pain, constipation, uterine, cramps and pain in the ovaries (menopausal for 20 years) pressure in the stomach, couldn't urinate for a whole day, severe stomach pain, constant burping.",couldn't urinate,urinary retention,PT
"within 15 minutes started to have stomach cramping, almost like period cramps.",bleeding and i was on day 12 of my cycle,intermenstrual bleeding,LLT
"within 15 minutes started to have stomach cramping, almost like period cramps.",stomach cramping,learning disorder,PT
"within 15 minutes started to have stomach cramping, almost like period cramps.",uterus pain and cramping,uterine spasm,PT
"within 15 minutes started to have stomach cramping, almost like period cramps.",worst pain i have ever experienced,pain,PT
"within 15 minutes started to have stomach cramping, almost like period cramps.",pain,pain,PT
"within 15 minutes started to have stomach cramping, almost like period cramps.",nausea,nausea,PT
"within 15 minutes started to have stomach cramping, almost like period cramps.",extreme pain,pain,PT
"within 15 minutes started to have stomach cramping, almost like period cramps.",uterus pain and cramping,uterine pain,PT
"within 15 minutes started to have stomach cramping, almost like period cramps.",uterus starting to have spasms,uterine spasm,PT
"15 minutes after taking , i experienced severe stomach cramping.",stomach pain,stomach ache,LLT
"15 minutes after taking , i experienced severe stomach cramping.",ankle swelling,swollen ankles,LLT
"15 minutes after taking , i experienced severe stomach cramping.",high blood pressure,blood pressure high,LLT
"15 minutes after taking , i experienced severe stomach cramping.",severe stomach cramping,learning disorder,PT
"stomach cramps, gassy most of the day.",stomach cramps,learning disorder,PT
"stomach cramps, gassy most of the day.",gassy,wind,LLT
swelling & weight increase.,swelling,swelling,PT
swelling & weight increase.,weight increase,weight increased,PT
"uncontrollable diarrhea,kidney function.",affecting my stomach(acid reflux),acid reflux (oesophageal),LLT
"uncontrollable diarrhea,kidney function.",affecting my kidneys,renal impairment,PT
"uncontrollable diarrhea,kidney function.",diarrhea,diarrhoea,PT
"appetite increase, stomach feels empty all the time.",appetite increase,increased appetite,PT
"headache, dizziness.",headache,headache,PT
"headache, dizziness.",dizziness,dizziness,PT
