text,positive,negative,ade,meddra,positive_ade,positive_meddra,negative_ade,negative_meddra
"numbness in feet, leg, hip, neck cramps, eyes running, itchy and watery all the time like i was crying.","imence pain in legs,calf,feet,cramping in legs and feet,even toes,,armpain,swelling,extreme heaviness in limbs,backache,bloody noes, high cpk, my short term memory is terrible,confusion.","heavy legs, muscle aches, confusion, not able to remember things like whether i had done something or where i had placed something, stomach upset, indigestion, insomnia, sweating, shaking, shortness of breath, twitching, depression worse, fibromyalgia much worse.",depression,depression,big time depression,depression,constipation,constipation
10mg; after 1.5 years waking up fatigued even after long sleep; unexplained pain in the right foot; and feel lethargic during the day.,muscle & joint pain; severe vision problems; fibromyalgia numbness in limbs; lupus.,"muscle pain and weakness, headaches, sleep disturbances.",bone/joint pain,arthralgia,joint pain,arthralgia,muscles very tight,muscle tension
"muscle wasting in the shoulders and arms,nerve problems in shoulder , fatigue and very sensative to the cold.","terrible nightmares and insomnia, leg cramps, fatigue.","muscle aches and weakness in neck, arms, shoulders, upper back, legs.",fatigue,fatigue,fatigue,fatigue,weakness,asthenia
"within 15 minutes started to have stomach cramping, almost like period cramps.","after taking my first pill, i quickly experienced extreme uterine cramping.","feels like menstrual cramps, back ache, sick to stomach for 24 hours +.",uterus starting to have spasms,uterine spasm,uterine cramping,uterine spasm,back ache,backache
"@nullfuture me too. major fatness since i started on the fabulous, non-soporific, weight-gaining quetiapine. it has to go or i will die.",lipitor is the only prescription drug i take and have taken it for four years now.,"i'm so fine today. increasing zyprexa,my condisition is became so good. it has a side effect that increase my weight. i must care about it.",weight-gaining,weight gain,gaining excess weight,weight gain,increase my weight,weight increase
gradually declining physical ability.,"after taking lipitor for 5 years: pain in the knees and feet, neck and shoulders, abdominal pain and elbow pain.","general weakness, reduced stamina, tennis elbow in both hands.",joint pain (elbows!),pain in elbow,elbow pain,pain in elbow,tennis elbow,lateral epicondylitis
"extreme pain in shoulders, loss of memory.","hair thinning, muscle aches, memory loss, tiredness, moody.","excruciating pain in shoulders and neck, memory loss, felt just strange.",loss of memory,amnesia,memory loss,amnesia,hideous constant pain,pain
"severe abdominal cramps, leg cramps, diahhrea, after taking 10mg only 3 days.","severe neck cramps, ackey leg cramps too.","rash with blisters, severe muscle aches and joint pain, extremely tired feeling, no energy, after taking medicine for two weeks.",leg cramps,cramp legs,ackey leg cramps,cramp legs,joint pain,arthralgia
"severe back pain muscles pain loss of energy, depression.",i started taking lipitor after my cholesterol climbed to 310.,"tiredness, some back pain.",severe back pain,pain,pain,pain,back pain,backache
this is the same poster as the previous posting.,"have suffered from leg cramps(principally at night) since beginning 40 mg lipitor, 5 years ago, after a mild heart attack.",9/20/05.,night muscle cramps,muscle cramp,cramps,muscle cramp,blurred thinking,difficulty thinking
i have been on lipitor 40mg. for 2 years.,i have been taking lipitor for 4 years and was part of the original study.,i have been on lipitor for approximately two and a half years.,terrible abdominal pain,abdominal pain,abdominal pain,abdominal pain,sleepless nites,insomnia
"severe abdominal cramping, sweating, period cramps, vaginal bleeding, diarrhea, acid reflux, dry mouth.",cymbalta makes me thirsty to the point where my mouth is painfully dry. it feels like the sahara desert in my mouth.,"severe, gut-renching abdominal pain, jaundins, diahrea, sweats & hot flashes, vaginal bleeding, and now constipation.",dry mouth,dry mouth,mouth is painfully dry,dry mouth,diahrea,diarrhoea
"nagging muscle pain between and just below my shoulder blades, persistent fatigue, moderate insomnia, increasingly unable to focus or stay.",severe pain in both calfs and thighs.,"blurring eyesight, hair loss, painful leg cramps, muscle weakness in my left arm, hard to walk any length of time, my legs and ankles ache so bad, have been unable to lose weight even when on strict diet, very, very tired all the time; pain in almost every muscle, digestive changes, bloating, gas, diarhea.",nagging muscle pain between and just below my shoulder blades,myalgia,myalgia,myalgia,fatigue,fatigue
i took this medication for about 2 weeks.,"very severe pain in arms, knees, hands.",i was taking this medication for 2 months.,muscle weakness,muscle weakness,muscle weakness,muscle weakness,pain in both calves and thighs,pain in thigh
"oddly, only positive.",all and some not noted - kidney-metal moods-anzity-sugar level drops - stomach ulcer-joint pain- memory trouble- put on more meds- lipitor admited to giving kidney troubles to me -i took other s with same troubles and more.,"wow, so im not crazy after all!",sore joints,arthralgia,joint pain,arthralgia,feet hurt,foot pain
went to hospital for my tmj pain because it was getting out of control.,lower abdominal pain,"within 7 days i had such severe myopathy (muscle pain) and cramping i could not walk, my cpk was elevated to that of a person having a heart attack and my liver enzymes were very elevated.",shooting lower abdominal pains,lower abdominal pain,shooting lower abdominal pains,lower abdominal pain,could not walk,walking difficulty
to take my seroquel and have weird dreams or to not... real life lyndsey world questions,i had been taking lipitor 10mg for 2 years.,"loss of muscel strength,vertigo caused by cramping neck muscels,loss of sexual drive,hair,short term memory,zombie like doped up state,halucinations during day,unable to walk for 2 weeks,get out of bed et al reduced mental capabiities,depression excessive sleep requirements and more that i can not remember.",weird dreams,abnormal dreams,abnoraml dreams,abnormal dreams,halucinations during day,hallucination
"i can feel my heart starting to palpitate from vyvanse, red bull, and nicotine. that's probably par for the course for finals week, right?",palpitation,@courage_cub i'm feeling weirdly antsy lately and i'm positive it's due to the prozac and i'm a bit worried where that could lead me,palpitate,palpitation,palpitate,palpitation,antsy,restless
@trenchtimelow ooh. i was on seroquel. and withdrawal is a bitch. i'm not even fully off it yet either.,@louiseypopssss quetiapine withdrawals.,@bipolarblogger i hate quetiapine. i was so relieved to come off it and stop feeling like a zombie.,withdrawal,withdrawal symptom,withdrawals,withdrawal symptom,zombie,felt like a zombie
"i feel a bit drowsy & have a little blurred vision, so far no gastric problems.","joint pain, back and shoulder pain, arm pain, numbness and tingling in the hands.",feeling better and much less anxious (i could actually talk to people yesterday) but the fluoxetine makes me sooooo sleepy...,little blurred vision,blurred vision,blurred vision,blurred vision,sleepy,sleepiness
i have never been so miserable in my life.,"at the beginning i did not had any side effects, until a few months after start taking lipitor i experienced pain in the lower legs, sometimes i could not even walk in the mornings my muscles were very stiff.","two days without my seroquel? i feel like death, seriously",intense pain in my knees,pain,severe pain in the upper back,pain,feel like death,feeling unwell
"on the third day taking just 5mg, stomach cramps and loose stools set in.","slurring in speech, lower back pain, bloated, constipated and severe hip pain on both hips.","lower dose for first month produced sporadic intense stomach cramps, diarrhea and nausea.",bloating,bloating,bloated,bloating,sick,ill-defined disorder
"thyroid disease (not sure if lipitor caused), vision problems (blind spot in right eye), hives, severe pain in left shoulder, arm, and hand.",hand pain,"aches and pains, breathing difficulties, panic attacks, stength and stamina destroyed, palpatations, strong tingling in one hand, some tinititis and occassional ear aches.",severe pain in hand,hand pain,severe pain in hand,hand pain,palpatations,palpitations
"extreme muscle spazms in my lower back, eye sight changes, fatigue and weakness.",neck pain/back spasms/foggy thinking/insomnia.,"blurring eyesight, hair loss, painful leg cramps, muscle weakness in my left arm, hard to walk any length of time, my legs and ankles ache so bad, have been unable to lose weight even when on strict diet, very, very tired all the time; pain in almost every muscle, digestive changes, bloating, gas, diarhea.",extreme muscle spazms in my lower back,back muscle spasms,back spasms,back muscle spasms,muscle weakness in my left arm,weakness of limbs
"first of all, i noticed severe lower back pain.","experienced excruciating, unusual abdominal pain (bowel, uterine) and lower back pain for about 5 hours after taking (including diarrhea 6 times), and heart palpitations and vaginal bleeding for about a day after taking.","extreme lower back pain, pain in neck and shoulders, calf cramping, red bumps on my skin.",severe lower back pain,low back pain,lower back pain,low back pain,pain in neck and shoulders,neck pain
started 2 years ago with 10 mg then 6 mos later doc upped to 20.,went from very active to severe leg muscle and buttocks cramps as well as aches and pains.,"started on 10mg, dose doubled to 20mg then to 40 mg.",decreased sex drive,libido decreased,no sex drive,libido decreased,severe muscle pains,myalgia
"weak muscles ,poor balance,very very tired can't work more than 2 hours without a nap.","shrinking muscels,leg arms,neck vertgo from convusing neck muscels.","muscle weakness, extreme fatigue, can't sleep good, muscle aches and pain.",weak muscles,muscle weakness,loss of strength,muscle weakness,muscle aches and pain,myalgia
i have been taking 10mg of lipitor for 3 months.,"leg pain, loss of memory, loss of libido and lack of sleep.",i had been taking lipitor 10mg for 2 years.,severe pain in leg,pain of lower extremities,leg pain,pain of lower extremities,rhinitis,rhinitis
